,제목,가수,가사,장르
83,Pink Venom,BLACKPINK,"Kick in the door Waving the coco
팝콘이나 챙겨 껴들 생각 말고
I talk that talk Runways I walk walk
눈 감고 pop pop 안 봐도 척

One by one then Two by two
내 손끝 툭 하나에 다 무너지는 중
가짜 쇼 치곤 화려했지
Makes no sense You couldn’t
get a dollar outta me

자 오늘 밤이야 난 독을 품은 꽃
네 혼을 빼앗은 다음
Look what you made us do

천천히 널 잠재울 FIRE 잔인할 만큼 아름다워

I bring the pain like

This that pink venom
This that pink venom
This that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like
whoa whoa whoa
Straight to ya dome like ah ah ah

Taste that pink venom
Taste that pink venom
Taste that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like
whoa whoa whoa
Straight to ya dome like ah ah ah

Black paint and ammo,
got bodies like Rambo
Rest in peace, please light up a candle
This da life of a vandal,
masked up and I’m still in Celine
Designer crimes or it wouldn’t be me

Diamonds shinin’ drive in silence
I don’t mind it I’m ridin’
Flyin’ private side by side with da
pilot Up in the sky
And I’m wildin’, stylin’ on them and
there’s no chance
Cuz we got bodies on bodies like this a
slow dance

자 오늘 밤이야 난 독을 품은 꽃
네 혼을 빼앗은 다음
Look what you made us do

천천히 널 잠재울 FIRE 잔인할 만큼 아름다워

I bring the pain like

This that pink venom
This that pink venom
This that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like
whoa whoa whoa
Straight to ya dome like ah ah ah

Taste that pink venom
Taste that pink venom
Taste that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like
whoa whoa whoa
Straight to ya dome like ah ah ah

원한다면 provoke us
감당 못해 and you know this

이미 퍼져버린 shot that potion
네 눈앞은 핑크빛 ocean

Come and give me all the smoke
도 아니면 모 like I’m so rock and roll

Come and give me all the smoke
다 줄 세워 봐 자 STOP DROP

I bring the pain like

La tatata La tatata La tatata La tatata
La tatata La tatata

Straight to ya
Straight to ya
Straight to ya dome like

La tatata La tatata La tatata La tatata
La tatata La tatata

I bring the pain like",랩/힙합
84,VIBE (feat. Jimin of BTS),태양,"말론 표현할 수 없지만
Girl, You gotta know
you got that vibe
네 미소는 Fine Art
내 영혼을 깨워
You got me feelin’ so right yeah
It’s a vibe
Yeah eh
This gon’ be the one
and only theme song
너에게만 고정된 내 시선
내겐 너란 하나뿐인 Mission
불가능은 없어
Baby lights camera action
나란 음악 위에 너는 Topline
너란 도시 위에 나는 Skyline
넌 내 영화 속에 Highlight
어두운 밤하늘 끝에 Twilight
Just gets better
너를 처음부터 정주행하고 싶은 매력
You don’t know I want your love
(know I want your love)
이 밤이 끝나기 전에 Baby
You know we got that vibe baby
(해 뜰 때까지)
Look at me, look at me,
느낌이 나지
Look at me, look at me,
느낌이 나지
You know we got that vibe baby
(해 질 때까지)
Look at you, look at you,
느낌이 나지
느낌이 와 It’s a vibe
This gon’ be the one
and only Anthem
감각적이야 Sixth sense 반전
짜릿해 손만 잡아도 감전
너를 만나기 전까지 내 세상은 암전
나란 무대 위에 너는 Spotlight
너란 한강 위에 나는 남산
더 완벽할 순 없잖아
어두운 밤하늘 끝에 Twilight
I could feel it
너란 공간에 갇혀버렸어
You’re my Matrix
You don’t know I want your love
(know I want your love)
이 밤이 끝나기 전에 Baby
You know we got that vibe baby
(해 뜰 때까지)
Look at me, look at me,
느낌이 나지
Look at me, look at me,
느낌이 나지
You know we got that vibe baby
(해 질 때까지)
Look at you, look at you,
느낌이 나지
느낌이 와 It’s a vibe
Look at the stars
밝게 빛나는 달
All through the night
우릴 비춰주고 있잖아
날 보는 너의 눈빛과
진동을 계속 느끼고 싶어
(You gotta know you got that vibe)
You know we got that vibe baby
(해 뜰 때까지)
Look at me, look at me,
느낌이 나지
You know we got that vibe baby
(해 질 때까지)
Look at you, look at you,
느낌이 나지
느낌이 와 It’s a vibe",댄스
85,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),"기분이 째져
Ayy who's the best dresser
반경 100m 누가 젤 튀어
잘 되면 셀럽
못 되면 평생 리셀러
내 개성은 시대를 안 타 huh
안 타 cause
나는 새삥
모든 게 다 새삥
보세 옷을 걸쳐도
브랜드 묻는 DM이 와
I’m too sexy
헌 집 주고 새집
프리미엄이 붙어
두 배, 세 배, 네 배 yeah
나는 새삥
11년째 freshman
유명세를 걷어
현찰 대신 스펙을 stackin’
Ooh! You’re not savage
남의 멋만 쌔비지
난 취향을 감춰 그래
내 세컨 카는 수수께끼
Show and prove의 심볼
넘볼 수 없는 임금
The king is back 뽷!
다시 ’코’시국
암만 영끌해도 근본은 절대 못 사
눈팅으로 배운 너의 street fashion
뚜까 패고파
기분이 째져
Ayy who's the best dresser
반경 100m 누가 젤 튀어
잘 되면 셀럽
못 되면 평생 리셀러
내 개성은 시대를 안 타 huh
안 타 cause
나는 새삥
모든 게 다 새삥
보세 옷을 걸쳐도
브랜드 묻는 DM이 와
I’m too sexy
헌 집 주고 새집
프리미엄이 붙어
두 배, 세 배, 네 배 yeah
아마 나는 오늘도
미치게 하겠지 workin’
이유는 뻔하지 새로운 옷이
알어 니 위치는 겉만 하지 마
건방 빌린 게 티 나서 bro
이제 여름이 오니까 준비해
내 목에다 채워질 아이스체인
1234 옷을 세는 것도 지겨워 man
New thang
I love my hates
원해 new chain
우리 엄만 생일마다
새 가방이 생기지
신기록 갱신
우린 없어 배신
나는 매일 새신
Yessir I really came from zero
그래서 2배로 work
책임을 가진 삶은 생각보다 괴로워
언제나 let's go hard
내 옷은 새로워
난 운전할 때마다 맨 앞이라 외로워
안 무셔 drip check
내 옷들은 늘 새삥
아무도 못 말려 나란 바닥노무 쉐낀
멈출 수 없어 난 쌓아야 해 stack
안전모를 썼던
나는 절대 못해 cap
기분이 째져
Ayy who's the best dresser
반경 100m 누가 젤 튀어
잘 되면 셀럽
못 되면 평생 리셀러
내 개성은 시대를 안 타 huh
안 타 cause
나는 새삥
모든 게 다 새삥
보세 옷을 걸쳐도
브랜드 묻는 DM이 와
I’m too sexy
헌 집 주고 새집
프리미엄이 붙어
두 배, 세 배, 네 배 yeah
나는 새삥 모든 게 다 새삥",랩/힙합
86,잠깐 시간 될까,이무진,"잠깐 시간 될까
만날 수 있을까
별일은 아니고 그냥 보고 싶어 그래
웃지 말고 대답해줄래
그럼 나 괜히 설레
장난치지 말고 내게 답 해줄래
어떻게 생각해
만나서 반가워
아마 첫 인사부터
이런 맘이었었는지도 몰라
나 이제 네게 다가서려 해
거릴 좁혀보려 해
나 망설이지 않기를
우리가 만약 시작한다면
그 누구보다
예쁘디 예쁠 거라 생각해
혹시 넌 어때
할 얘기가 많은데
마침 너희 집 근처야
혹시나 괜찮다면
잠깐 시간 될까
만날 수 있을까
별일은 아니고 그냥 보고 싶어 그래
웃지 말고 대답해줄래
그럼 나 괜히 설레
장난치지 말고 내게 답 해줄래
혹시 근데 말이야
내 고백 말이야
답 안 해줬잖아 너는 나 어떤 것 같애
부담 안 가져도 돼
진짜야 나는 괜찮아
마음이 정리될 때까지 기다릴게
내가 그리 갈게
흠 아마도 내가
이런 맘을 보내다 보면
너에게 닿겠지만
혹시 그렇게 되진 못하더라도
이 순간만큼은
설렜던 기억으로 남기를
이대로 너와 내 시간이
멈춰버렸음 해
아직 우린 아무 사이도 아닌데
난 괜히 그래
할 얘기가 많은데
마침 너희 집 근처야
혹시나 괜찮다면
잠깐 시간 될까
만날 수 있을까
별일은 아니고 그냥 보고 싶어 그래
웃지 말고 대답해줄래
그럼 나 괜히 설레
장난치지 말고 내게 답 해줄래
내가 그리 갈게
잠깐 시간 될까
그 한마디보다
사실 지금 당장 널 보러 가고 싶은데
이게 맘처럼 안 돼
그냥 보고 싶어 나 너 좋아해
말로 다 못할 정도야 널 좋아해
널 보고 싶단 말
날 안아달란 말
너에게 했던 모든 말 전부 다 진심이야
단 한 순간도 가볍거나 쉽게 생각했던 적 없어
이젠 너도 답 해줄래
내가 그리 갈게",록/메탈
87,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단","الأ هو لا دان
الأ هو لا دان
(Oh RedOne)
الأ هو لا دان
الأ هو لا دان
Look who we are we are the dreamers
We make it happen 'cause we believe it
Look who we are we are the dreamers
We make it happen 'cause we can see it
Here's to the ones that keep the passion
Respect oh yeah
Here's to the ones that can imagine
Respect oh yeah
الأ هو لا دان
الأ هو لا دان
الأ هو لا دان
الأ هو لا دان
Gather 'round now look at me (هاييا هاييا)
Respect the love the only way (هاييا هاييا)
If you wanna come come with me (هاييا هاييا)
The door is open now every day (هاييا هاييا)
This one plus two rendezvous all invited
This what we do how we do
Look who we are we are the dreamers
We make it happen 'cause we believe it
Look who we are we are the dreamers
We make it happen 'cause we can see it
Here's to the ones that keep the passion
Respect oh yeah
Here's to the ones that can imagine
Respect oh yeah
الأ هو لا دان
الأ هو لا دان
الأ هو لا دان
الأ هو لا دان
Look who we are we are the dreamers
We make it happen 'cause we believe it
Look who we are we are the dreamers
We make it happen 'cause we can see it
Here's to the ones that keep the passion
Respect oh yeah
Here's to the ones that can imagine
Respect oh yeah
الأ هو لا دان
الأ هو لا دان
الأ هو لا دان
الأ هو لا دان",POP
88,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),"잘 지냈지? 조금은 어색해 요즘 좋아 보여 인사 나누며
사실 궁금한 게 너무 많았는데 반가움에 멍해졌죠

생각보다 오래 된 것 같은 우리 수다스럽던 그때가 생각나
뭐가 그렇게도 할 말이 많아서 밤을 지새우곤 했죠

그리운 목소리 그리던 얼굴 참 많이도 기다렸어

다시 만나자는 너의 한마디에 울컥 눈물이 나
결국 너였단 걸

알아
기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼

서로를 알아보고 그렇게 눈앞에 서있죠

우리 사랑했던 우리 다시 만나 그때 그 순간 그대로
사랑했고 사랑할 거니까

같이 듣던 노래 그때 그 거리를 이제 혼자 아닌 너와 둘이 걸어

다시 오른쪽에 나란히 발맞춰 같은 노래를 부르죠

그리운 만남을 그리던 날들 참 많이도 기다렸어

다시 너를 만나 더욱 더 소중해 같은 마음이란 걸

알아
기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼

서로를 알아보고 그렇게 눈앞에 서있죠

우리 사랑했던 우리 다시 만나 그때 그 순간 그대로

사랑했고 사랑할 거니까

처음 느낌 그대로 설렘이 가득한 날

고마워 다시 돌아와줘서

그때 그 순간처럼 날

안아줘

결국 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼

서로를 알아보고 그렇게 눈앞에 서있죠

우리 사랑했던 우리 다시 만나 그때 그 순간 그대로

사랑했고 사랑할 거니까",발라드
89,밤이 무서워요 (Lonely Night),주주 시크릿,"지워도 외우고 있는 번호와
눈 감아도 선명한 그 얼굴을
잊을 수 있게 없어질 수 있게 해줘
나쁜 사람이 되고 싶었는데
생각보다 난 독하지 못해
오늘도 이래 어젯밤처럼 이래
내 맘이 맘이 맘이 맘이 맘대로
약속을 어기고 자꾸 그댈 찾아
고장 난 인형처럼 왜 멈추질 못해
이 밤이 밤이 밤이 밤이 무서워
기어코 추억을 다시 그리는 나
내일 후회할 텐데, 부어있을 텐데
나 같은 애는 나도 이해 안 돼
생각보다 난 그댈 못 잊어
내가 질리게 내가 미워하게
그대가 완전히 나쁜 사람이 되어 줘요
내 맘이 맘이 맘이 맘이 맘대로
약속을 어기고 자꾸 그댈 찾아
고장 난 인형처럼 왜 멈추질 못해
이 밤이 밤이 밤이 밤이 무서워
기어코 추억을 다시 그리는 나
내일 후회할 텐데, 부어있을 텐데
어려운 말은 그만 해요
내가 기대할 수 없게 해요
그대 앞에선 난 단순해져
배려하지마
밤이 밤이 이 밤이 밤이 (무서워)
맘이 맘이 이 맘이 맘이 (맘대로)
밤이 밤이 이 밤이 밤이 (무서워)
맘이 맘이 이 맘이 맘이
이 밤이 밤이 밤이 밤이 무서워
누군가 내 마음에 불을 켜줘요
그대가 아니라면 더욱 좋을 것 같아",댄스
90,해금,Agust D,"이 노래는 해금
올라타 봐 지금
복작대는 리듬 어쩌면
이 또한 또 다른 해금
이 노래는 해금
올라타 봐 지금
복작대는 리듬 어쩌면
이 또한 또 다른 해금
이 노래는 해금
올라타 봐 지금
복작대는 리듬 어쩌면
이 또한 또 다른 해금
해석들은 자유
개소리는 아웃
표현들의 자유
어쩌면 누군가의 죽음 사유
그것 또한 자유일런지
당신의 판단과 추측엔
확실한 신념들이 있는지
당신의 자유와 타인의 자유가
동일하다 믿는지
그렇다면 주저 말고 올라타 봐
금지된 것들로부터의 해방
각자의 취향조차 이해들을 못 하는 불행한
이 시대를 살아가는 이들을
위한 이 노랜 금지된 것을 푸는 것뿐이지
허나 자유와 방종의
차이쯤은 부디 구분하길
이 노래는 해금
올라타 봐 지금
복작대는 리듬
또 다른 해금
이 노래는 해금
올라타 봐 지금
복작대는 리듬 어쩌면
이 또한 또 다른 해금
이 노래는 해금
올라타 봐 지금
복작대는 리듬 어쩌면
이 또한 또 다른 해금
쏟아지는 정보들은 상상의 자유들을
금지시킴과 동시에
사상의 통일성을 원해
꽤나 머리 아픈 각종 노이즈는 눈을 가리고
이제는 생각의 자유조차 범해
각종 논란들은 판단들의 혼란들을
야기시키고 또 쉴 틈 없이 생산되네 uh
과연 우릴 금지시킨 건 무엇일까
어쩌면은 우리 자신 아닐까
자본의 노예 돈들의 노예
증오심과 편견 혐오의 노예
유튜브의 노예 플렉스의 노예
이기심과 탐욕이 미쳐 날뛰네
눈 감으면 편해 모든 게 뻔해
이득에 따라서 뻔히 갈리는 견해
시기와 질투에 다들 말야 눈들이 머네
서로가 서로에게 족쇄를 거는 것도 모른 채
정보의 쓰나미에서 쓸려 내려가지 말길
우린 자유와 방종의 차이쯤은 모두 구분하니
이 노래는 해금
올라타 봐 지금
복작대는 리듬
또 다른 해금
이 노래는 해금
올라타 봐 지금
복작대는 리듬 어쩌면
이 또한 또 다른 해금
이 노래는 해금
올라타 봐 지금
복작대는 리듬 어쩌면
이 또한 또 다른 해금
이 노래는 해금
올라타 봐 지금
복작대는 리듬 어쩌면
이 또한 또 다른 해금
이 노래는 해금
올라타 봐 지금
복작대는 리듬 어쩌면
이 또한 또 다른 해금",랩/힙합
91,April shower,세븐틴 (SEVENTEEN),"4월쯤의 소나기는
언제나 어김없이 내 옆에 내리죠
땅에 끌린 바지 끝에
살며시 젖어 올라 마음을 채우죠
이 비에 내가 걸음이 조금 느려도
신호등의 불 바뀜이 제멋대로 바뀌어도
모든 게 연출 같잖아
날 위한 무대 같잖아
마치 뮤지컬, 연극처럼 막이 올라가
Just Like This
늦봄에 April Shower 내리면
우산을 접어 빗속을 걸어
우리는 5월에 필 꽃처럼
기다림에서 아름다움으로
피어날 거야 더더더
Rain Drops On Me On Me
Rain Drops On Me On Me
Rain Drops On Me On Me
주르륵 내려줘 흠뻑 더
주르륵 내려서 꽃이 펴
주르륵 내려줘 지금 더
Rain Drops On Me On Me
주르륵 내려줘 흠뻑 더
주르륵 내려서 꽃이 펴
주르륵 내려줘 지금 더
Rain Drops On Me On Me
이 비에 I Wanna Rock With You
한 방울 우리 위로 Fallin’
난 너에게로 Fallin’
첨벙대는 리듬에 맞춰
마음껏 더 더 기분 좋게 Dance With Me
늦봄에 April Shower 내리면
우산을 접어 빗속을 걸어
우리는 5월에 필 꽃처럼
기다림에서 아름다움으로
피어날 거야 더더더
Rain Drops On Me On Me
Rain Drops On Me On Me
Rain Drops On Me On Me
주르륵 내려줘 흠뻑 더
주르륵 내려서 꽃이 펴
주르륵 내려줘 지금 더
Rain Drops On Me On Me
주르륵 내려줘 흠뻑 더
주르륵 내려서 꽃이 펴
주르륵 내려줘 지금 더
Rain Drops On Me On Me
4월쯤의 소나기는
언제나 어김없이 내 옆에 내리죠
땅에 끌린 바지 끝에
살며시 젖어 올라 마음을 채우죠
Rain Drops On Me On Me
Rain Drops On Me On Me",R&B/Soul
92,나의 마음에 (Seed),태양,"어젯밤 꿈속에서
지울 수 없이 깊게 밴 그대 향기
내 곁에 영원히 있어 줘
보고 있어도
그리운 그대
절대 채울 수 없다는 걸 잘 알면서도
나는 뭘 그리 더 가지려 했나
부서지는 모래성처럼
변해가는 사람들
날 위한 너의 기도 잊지 않을게
그대여 나의 마음에 꽃잎이 되어
흩날리는 나의 삶에 길이 돼 주오
캄캄한 나의 밤에 불빛이 되어
그대여 나의 마음에 비춰 주오
끝내 닿을 수 없다는 걸 잘 알면서도
나는 왜 그렇게 잡으려 했나
부서지는 모래성처럼
변해가는 사람들
날 위한 너의 기도 잊지 않을게
그대여 나의 마음에 꽃잎이 되어
흩날리는 나의 삶에 길이 돼 주오
캄캄한 나의 밤에 불빛이 되어
그대여 나의 마음에
그대여 나의 마음에
한 편의 영화 같던 내 흔적들을 다시
되돌릴 순 없겠지만
날 가리던 어둠 속에 핀 너라는 꽃
이제 내 맘속에 너로 가득 해줘
그대여 나의 마음에 꽃잎이 되어
흩날리는 나의 삶에 길이 돼 주오
캄캄한 나의 밤에 불빛이 되어
그대여 나의 마음에
그대여 나의 마음에
그대여 나의 마음에
비춰 주오",발라드
93,그중에 그대를 만나,김호중,"그렇게 대단한 운명까진
바란적 없다 생각했는데
그대 하나 떠나간 내 하룬 이제
운명이 아님 채울 수 없소
별처럼 수 많은 사람들
그 중에 그대를 만나
꿈을 꾸듯 서롤 알아보고
주는 것 만으로 벅찼던
내가 또 사랑을 받고
그 모든건 기적이었음을
그렇게 어른이 되었다고
자신한 내가 어제같은데
그대라는 인연을 놓지 못하는
내 모습 어린아이가 됐소
별처럼 수 많은 사람들
그 중에 그대를 만나
꿈을 꾸듯 서롤 알아보고
주는 것 만으로 벅찼던
내가 또 사랑을 받고
그 모든건 기적이었음을
나를 꽃처럼 불러주던
그대 입술에 핀 내 이름
이제 수많은 이름들
그 중에 하나되고
오 그대의 이유였던
나의 모든 것도 그저 그렇게
별처럼 수 많은 사람들
그 중에 서로를 만나
사랑하고 다시 멀어지고
억겁의 시간이 지나도
어쩌면 또다시 만나
우리 사랑 운명이었다면
내가 너의 기적이었다면","발라드, 국내드라마"
94,오르트구름,윤하 (YOUNHA),"어둠만이 나의 전부였던 동안
숨이 벅차도록 달려왔잖아
Never say “time’s up”
경계의 끝자락
내 끝은 아니니까

울타리 밖에 일렁이는 무언가
그 아무도 모르는 별일지 몰라
I wanna wanna be there
I’m gonna gonna be there
벅찬 맘으로 이 궤도를 벗어나

Let’s go!
새로운 길의 탐험가
Beyond the road
껍질을 깨뜨려버리자
두려움은 이제 거둬
오로지 나를 믿어
지금이 바로 time to fly

두 눈 앞의 끝, 사뿐 넘어가
한계 밖의 trip, 짜릿하잖아
녹이 슨 심장에 쉼 없이 피는 꿈
무모하대도 믿어 난


누구도 본 적 없는 낯선 우주 속에
겁 없이 뛰어들어 fall (fall) fall (fall)
답답한 가슴 안에
불꽃을 피워낼래
shine and bright

곧 잡힐 듯이 반짝이던 무언가
꼭 달릴수록 멀어져도 난 좋아
I never never give up
I’m getting getting better
여정은 이미 시작된 지 오래야

Let’s go!
끝이라 생각한 순간
Beyond the road
넓은 세상이 날 감싸 안아
때로는 느릿해도
가끔은 지친대도
멈추지 않고 let me fly

두 눈 앞의 끝, 사뿐 넘어가
한계 밖의 trip, 짜릿하잖아
녹이 슨 심장에 쉼 없이 피는 꿈
무모하대도 믿어 난

누가 뭐래도 믿어 난

Go, 다치고 망가져 버거워진 항해
Go, 숨 한 번 고르고 이어가면 OK
구름 너머 세상을 내 품에 안을래

두 눈 앞의 끝, 사뿐 넘어가
한계 밖의 trip, 짜릿하잖아
녹이 슨 심장에 쉼 없이 피는 꿈
무모하대도 믿어 난

나의 여정을 믿어 난",록/메탈
95,부동의 첫사랑,10CM,"주인공은 아니었지
누구의 시점에서도
그냥 스쳐 지나가거나
친구3이라거나
이름 없는 역할 뿐
너에게는 알 수 없는
멋진 향기가 났었지
지나칠 수 없는 마음을
대사 한 줄 없지만
말하고 싶었는데
창가에 비친 너의 얼굴은
나만을 위한 등장이었는지
단 한 번의 명장면이
빠르게 지나가고 있었지
소리쳐 이름을 불러 볼까
한 시간쯤은 기억해 줄까
뒤를 돌아봐 주었지만
너의 미소는 내게 와주지 않았지
다음 편이 기대되지 않는
예상 가능한 엔딩만 남은
로맨스도 뭣도 아닌
나의 부동의 첫사랑
좋아하는 마음이란
왜 감출 수가 없는지
나는 바보 같은 말투로
대본에도 없었던
고백을 해버렸지
대답이 없는 너의 표정은
누구를 위한 연출이었는지
웃기라도 해준다면
이상한 애가 돼도 좋은데
소리쳐 이름을 불러 볼까
30분쯤은 기억해 줄까
뒤를 돌아봐 주었지만
너의 미소는 내게 와주지 않았지
다음 편이 기대되지 않는
예상 가능한 엔딩만 남은
로맨스도 뭣도 아닌
나의 부동의 첫사랑
굳이 응원해 준 사람도 없었지만
너를 향한 노래가 생겼어
이젠 웃으며 부를 수 있어
그저 흐릿한 조명처럼
너의 미소를 빛내줄 수만 있다면
예고편이 공개되지 않고
뻔한 엔딩도 맺지 못했지만
나의 마음속 언제나
항상 빛나고 있는
부동의 첫사랑","인디음악, 포크/블루스"
96,I Don't Understand But I Luv U,세븐틴 (SEVENTEEN),"When I Saw you 멈춰버린 공간
예민해진 감각
오직 너 하나 보일 때
내 마음은 내 눈마저 Jealousy
Oh Baby Cause I
U-O-O-W-O-O-W-O-O
깊은 숲속의 파도
너는 내게 유일무이
기타의 선율
간절히 원함을 다시 피어나게 해줄
짙은 향 속에 날 Zoom (Hoo)
어지러운 단어 사이 지워질까 더 겁나
U-O-O-W-O-O-W-O-O
다른 언어와 다른 시간도
이해하지 않아도 다 알 수 있어
둘만이 비밀로 공유한 Password
우리 둘을 열어줘
세상에 존재하는 모든 말 Yeh
우리 둘만 아는 모습으로 충분해
내 모든 욕심으로
커져가는 감정의 파형으로 Yeh
알잖아 우리 사이엔 말보다
더 중요한 게 있잖아
I Don’t Understand But I Luv But I Luv U
I Don’t Understand But I Luv But I Luv U
I Don’t Understand But I Luv But I Luv U
I Don’t Understand But I Luv But I Luv U
두 눈을 감고서 바라봐
느껴져 보란 듯이 너와 나
시간의 구애는 받지 않아 Any Day
둘이 있는 Anywhere
Woo Wuh
Love Missile 파동 위로 원
Smoke Smoke 피어올라라 S2
이해하지 않아도 알 수 있어 너
언어의 장벽은 그저 거품
알잖아 넌 나도 날 Don’t Believe Me
But 넌 날 믿어 줬지
난 너의 안에서 오직
피어오른 꽃 지펴라 불꽃
다른 언어와 다른 시간도
이해하지 않아도 다 알 수 있어
둘만이 비밀로 공유한 Password
우리 둘을 열어줘
세상에 존재하는 모든 말 Yeh
우리 둘만 아는 모습으로 충분해
내 모든 욕심으로
커져가는 감정의 파형으로 Yeh
알잖아 우리 사이엔 말보다
더 중요한 게 있잖아
I Don’t Understand But I Luv But I Luv U
I Don’t Understand But I Luv But I Luv U
I Don’t Understand But I Luv But I Luv U
I Don’t Understand But I Luv But I Luv U",R&B/Soul
97,HOT,세븐틴 (SEVENTEEN),"모두 우릴 쳐다봐 (봐)
태양 위를 달리는 마차 (계속 달려 Uh)
Juicy Juicy Juicy Juicy

총성이 울려 퍼진 다음 (Spicy한 Feelin’)
태양을 마음에다 쏴 (I just wanna do this)
Juicy Juicy

음악 소리 크게 Turn up
세상을 사정없이 달려
태양을 뒤에 달고 밟아 경적 울려 우리답게 Fire (우리답게)

뭘 따라가려 해 (뭘 따라가려 해)
우리 방식대로 더 더 (우리 방식대로 더 더)
Say ah 뜨거워 뜨거워 뜨거워

밤이 없는 낮 하늘은 붉은색
모든 세상에 빛은 하나인 듯해 (하나 된 듯이)
벅찬 심호흡과 리듬 과열 Vibe
운명의 태양에 내일을 걸어봐
따라오라 Go

우리는 Drop it like HOT HOT HOT (Oh 지금 Feelin’ so HOT)
이 노래 Burnin’ like HOT HOT HOT HOT (Boom Brr Boom Boom)
우리는 Drop it like HOT HOT HOT (Oh 지금 Feelin’ so HOT)
Yeah I’m runnin’ too HOT HOT HOT HOT (Boom Brr Boom Boom)

태양을 향해 불붙여라
아주 뜨겁게 (Boom Brr Boom Boom)
태양을 향해 불붙여라
뜨거워 이 노래 Everybody 떼창

Ay 나팔을 불어라 사막의 파도 사이로 Drive away
I don’t want uh one more chance
이 순간에 모든 걸 걸을래

태양을 향해 등지고 있던 내 그림자는 다시 빛이 돼
Yeh 가슴을 뜨겁게 거짓말 없어 우린 확실해

터질 것만 같아 I can’t breathe 뜨거운 심장이 (말을 안 들어)
벅찬 심호흡과 리듬 과열 Vibe
You know what to do, hey you know what to do

우리는 Drop it like HOT HOT HOT (Oh 지금 Feelin’ so HOT)
이 노래 Burnin’ like HOT HOT HOT HOT (Boom Brr Boom Boom)
우리는 Drop it like HOT HOT HOT (Oh 지금 Feelin’ so HOT)
Yeah I’m runnin’ too HOT HOT HOT HOT (Boom Brr Boom Boom)

깊은 숲을 헤치고서 달려
깊은 바다 위에 태양이여
우린 Through the fire 한계를 다시 넘어
어느새 우린 높이 올라가서 태양이 되어버릴 거야 Aw!

우리는 Drop it like HOT HOT HOT (Oh 지금 Feelin’ so HOT)
이 노래 Burnin’ like HOT HOT HOT HOT (Boom Brr Boom Boom)
우리는 Drop it like HOT HOT HOT (Oh 지금 Feelin’ so HOT)
Yeah I’m runnin’ too HOT HOT HOT HOT (Boom Brr Boom Boom)

태양을 향해 불붙여라
아주 뜨겁게 (Boom Brr Boom Boom)
태양을 향해 불붙여라
뜨거워 이 노래 Everybody 떼창",랩/힙합
98,Perfume,NCT 도재정,"Perfume ooh ooh yeah
ay 너의 하룰
향기롭게 꾸며 줄게
걸음 끝에
내 이름이 떠오르게
네 숨결에 스미고
코 끝에서 맴돌게 해
네 맘에 각인되게
잔향까지 오래
달아 널 생각하는 나의 향은
담아 선명한 내 흔적들을
손목 위에 난
옷깃 위에 난
남겨두려 해
나를 잊을 수 없게
작은 숨결까지
파고들어 난
ay 방안에 공기에도
널 위한 내 맘을 풍겨
네 온긴 내 것이 돼
Every time is paradise yeah
긴 시간이 흘러도
질릴 수가 없으니까
처음 느낀 경험일 걸
솔직해져 baby
좋아 내 순간들에 있는 네가
Tonight 빈틈 없이 빠져들어
손목 위에 난
옷깃 위에 난
남겨두려 해
나를 잊을 수 없게
작은 숨결까지
파고들어 난
(baby I’m baby I’m)
baby I’m comfortable with you
(You know that I’m)
and you’re comfortable with me
(I know that you are)
두 눈을 맞추면 (맞추면)
더 선명해질 테니
yeah yeah that’s me
짙은 농도에 (oh yeah)
정신이 혼미해 (Love yeah)
uh 호흡마저 향기로워
너를 보면 모두가 다
나를 떠올려
yeah 한 방울
Drip Drop (Drip Drop)
너의 기억 속에
흔적을 남겨 (남겨)
시간 지날수록
더 뚜렷해져
네 주위를 맴돌아
24 hour whoa whoa!
Hold tight
서로의 맘을 확인한 밤
oh 난 이미 스며든 것 같아
이젠 확실히 알아
난 감각이 깨어나
다시 한번 깊이 새겨
손목 위에 난
옷깃 위에 난
남겨두려 해
나를 잊을 수 없게
모든 순간 속에
파고들어 난",R&B/Soul
